print_ref,deck_label,band_color,owner_table,title,counterparty,amount,vat,format_note,body_lines,qr_payload,card_id
CARD-084,INVOICE,#F07A00,T-06,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-3FC217635B,RED-T06-X3
CARD-085,INVOICE,#F07A00,T-07,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-A861E8C773,RED-T07-X1
CARD-086,INVOICE,#F07A00,T-07,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-CB48C4D128,RED-T07-X2
CARD-087,INVOICE,#F07A00,T-07,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-4F7EA468F2,RED-T07-X3
CARD-088,INVOICE,#F07A00,T-07,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-4286518DA9,RED-T07-X4
CARD-089,INVOICE,#F07A00,T-08,OFFICE FIT-OUT INVOICE,Urban Fit-Out Contracting LLC,"AED 674,300.00","AED 32,109.52 @ 5%",PINT AE 1.0 (XML),Supplier TRN: 100445566700003; Buyer TRN: —; Issued: 19 Feb 2027; Transmitted: 19 Feb 2027,KP5C-2E4DF48F95,RED-T08-X2
CARD-090,INVOICE,#F07A00,T-08,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-F62B38C672,RED-T08-X3
CARD-091,INVOICE,#F07A00,T-08,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-5321F32936,RED-T08-X4
CARD-092,INVOICE,#F07A00,T-08,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-CFB42863CC,RED-T08-X5
CARD-093,INVOICE,#F07A00,T-09,IT SERVICES INVOICE,Nexus Cloud Services LLC,"AED 1,118,000.00","AED 53,238.10 @ 5%",PINT AE 1.0 (XML),XML payload: PINT AE 1.0; Supplier ASP: —; Buyer ASP: —; FTA reporting: —,KP5C-91254DF8AC,RED-T09-X3
CARD-094,INVOICE,#F07A00,T-09,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-0F8664BCDE,RED-T09-X4
CARD-095,INVOICE,#F07A00,T-09,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-9346473741,RED-T09-X5
CARD-096,INVOICE,#F07A00,T-09,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-01CF932B86,RED-T09-X6
CARD-097,INVOICE,#F07A00,T-10,ENTITY COMPLIANCE RECORD,Ras Al Khaimah Holdings,"Entity revenue: AED 71,400,000",—,—,"Entity revenue: AED 71,400,000; ASP appointment deadline: 30 Oct 2026; Appointment status: —; Mandatory go-live: 01 Jan 2027",KP5C-6472BCE9E7,RED-T10-X4
CARD-098,INVOICE,#F07A00,T-10,WAREHOUSE SUPPLY INVOICE,DMCC Free Zone Trading DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF document,Free Zone: DMCC; Buyer: mainland UAE company; Document stamp: “E-INVOICING EXEMPT”; Basis for exemption: —,KP5C-2BF7DD4C99,RED-T10-X5
CARD-099,INVOICE,#F07A00,T-10,RETAIL SALE RECEIPT,Retail walk-in customer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Buyer: individual consumer; Buyer TRN: none; Transaction class: B2C retail; Peppol network: n/a,KP5C-98E82E089D,RED-T10-X6
CARD-100,INVOICE,#F07A00,T-10,FACILITIES MANAGEMENT INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%",PDF attachment,Attachment: invoice_final_v3_signed.pdf; File type: PDF (scanned); Sent via: email attachment,KP5C-E25841C100,RED-T10-X1
CARD-101,CONTROL,#1E8E5A,T-01,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-ED85F47951,GRN-T01-01
CARD-102,CONTROL,#1E8E5A,T-01,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-6BA14B5796,GRN-T01-02
CARD-103,CONTROL,#1E8E5A,T-01,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-29CE9EDD22,GRN-T01-03
CARD-104,CONTROL,#1E8E5A,T-01,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-FED7F111FC,GRN-T01-04
CARD-105,CONTROL,#1E8E5A,T-01,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-3F1AF82060,GRN-T01-05
CARD-106,CONTROL,#1E8E5A,T-01,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-16E5564C53,GRN-T01-06
CARD-107,ALLIANCE,#1A7AE5,T-01,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-1B11A52352,BLU-T01-01
CARD-108,ALLIANCE,#1A7AE5,T-01,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-FDEF9F459E,BLU-T01-02
CARD-109,ALLIANCE,#1A7AE5,T-01,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-C50EC08F7F,BLU-T01-03
CARD-110,ALLIANCE,#1A7AE5,T-01,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-9D9D406C0D,BLU-T01-04
CARD-111,CONTROL,#1E8E5A,T-02,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-0C33E5DF23,GRN-T02-01
CARD-112,CONTROL,#1E8E5A,T-02,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-9E5F38885E,GRN-T02-02
CARD-113,CONTROL,#1E8E5A,T-02,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-73A44D7C06,GRN-T02-03
CARD-114,CONTROL,#1E8E5A,T-02,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-F99DC09726,GRN-T02-04
CARD-115,CONTROL,#1E8E5A,T-02,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-9B5DBB2C21,GRN-T02-05
CARD-116,CONTROL,#1E8E5A,T-02,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-5FC461BC4B,GRN-T02-06
CARD-117,ALLIANCE,#1A7AE5,T-02,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-682C780C11,BLU-T02-01
CARD-118,ALLIANCE,#1A7AE5,T-02,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-61F4DE8A93,BLU-T02-02
CARD-119,ALLIANCE,#1A7AE5,T-02,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-70CCD1B42D,BLU-T02-03
CARD-120,ALLIANCE,#1A7AE5,T-02,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-2D81C59B66,BLU-T02-04
CARD-121,CONTROL,#1E8E5A,T-03,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-81BE370D39,GRN-T03-01
CARD-122,CONTROL,#1E8E5A,T-03,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-A470CECEE4,GRN-T03-02
CARD-123,CONTROL,#1E8E5A,T-03,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-AEE8DAC141,GRN-T03-03
CARD-124,CONTROL,#1E8E5A,T-03,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-40093D7CFD,GRN-T03-04
CARD-125,CONTROL,#1E8E5A,T-03,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-33169F5235,GRN-T03-05
CARD-126,CONTROL,#1E8E5A,T-03,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-B05FB87D90,GRN-T03-06
CARD-127,ALLIANCE,#1A7AE5,T-03,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-4A54A71D5E,BLU-T03-01
CARD-128,ALLIANCE,#1A7AE5,T-03,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-3B137DB34A,BLU-T03-02
CARD-129,ALLIANCE,#1A7AE5,T-03,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-5F9A832A58,BLU-T03-03
CARD-130,ALLIANCE,#1A7AE5,T-03,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-2FC102A69E,BLU-T03-04
CARD-131,CONTROL,#1E8E5A,T-04,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-D2EE693840,GRN-T04-01
CARD-132,CONTROL,#1E8E5A,T-04,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-6B427E4D03,GRN-T04-02
CARD-133,CONTROL,#1E8E5A,T-04,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-7BB96144BE,GRN-T04-03
CARD-134,CONTROL,#1E8E5A,T-04,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-7E352A7736,GRN-T04-04
CARD-135,CONTROL,#1E8E5A,T-04,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-0CA03D21A5,GRN-T04-05
CARD-136,CONTROL,#1E8E5A,T-04,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-A756CAB973,GRN-T04-06
CARD-137,ALLIANCE,#1A7AE5,T-04,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-D44973FB7C,BLU-T04-01
CARD-138,ALLIANCE,#1A7AE5,T-04,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-BBD451D659,BLU-T04-02
CARD-139,ALLIANCE,#1A7AE5,T-04,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-818D7D2E32,BLU-T04-03
CARD-140,ALLIANCE,#1A7AE5,T-04,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-EF6A9FD91D,BLU-T04-04
CARD-141,CONTROL,#1E8E5A,T-05,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-CCEEC3E491,GRN-T05-01
CARD-142,CONTROL,#1E8E5A,T-05,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-2EAE7FA03A,GRN-T05-02
CARD-143,CONTROL,#1E8E5A,T-05,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-59D152B3C1,GRN-T05-03
CARD-144,CONTROL,#1E8E5A,T-05,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-5927F16A60,GRN-T05-04
CARD-145,CONTROL,#1E8E5A,T-05,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-D731E8B3BB,GRN-T05-05
CARD-146,CONTROL,#1E8E5A,T-05,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-BCA777F1D9,GRN-T05-06
CARD-147,ALLIANCE,#1A7AE5,T-05,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-8DFB4C176D,BLU-T05-01
CARD-148,ALLIANCE,#1A7AE5,T-05,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-15E401F91F,BLU-T05-02
CARD-149,ALLIANCE,#1A7AE5,T-05,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-AC648F0AFC,BLU-T05-03
CARD-150,ALLIANCE,#1A7AE5,T-05,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-7E6E0A1D78,BLU-T05-04
CARD-151,CONTROL,#1E8E5A,T-06,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-F92D8DB4E2,GRN-T06-01
CARD-152,CONTROL,#1E8E5A,T-06,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-25D03F403B,GRN-T06-02
CARD-153,CONTROL,#1E8E5A,T-06,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-A4088C40D1,GRN-T06-03
CARD-154,CONTROL,#1E8E5A,T-06,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-C2B534D053,GRN-T06-04
CARD-155,CONTROL,#1E8E5A,T-06,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-A996944EC0,GRN-T06-05
CARD-156,CONTROL,#1E8E5A,T-06,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-C5752573F8,GRN-T06-06
CARD-157,ALLIANCE,#1A7AE5,T-06,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-5A8C1287B2,BLU-T06-01
CARD-158,ALLIANCE,#1A7AE5,T-06,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-76718569CF,BLU-T06-02
CARD-159,ALLIANCE,#1A7AE5,T-06,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-EB862E1E90,BLU-T06-03
CARD-160,ALLIANCE,#1A7AE5,T-06,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-F8C7F1E765,BLU-T06-04
CARD-161,CONTROL,#1E8E5A,T-07,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-1839C0E260,GRN-T07-01
CARD-162,CONTROL,#1E8E5A,T-07,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-03B9648D0C,GRN-T07-02
CARD-163,CONTROL,#1E8E5A,T-07,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-26B2E13719,GRN-T07-03
CARD-164,CONTROL,#1E8E5A,T-07,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-07E3DEA128,GRN-T07-04
CARD-165,CONTROL,#1E8E5A,T-07,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-DC71CFB0C3,GRN-T07-05
CARD-166,CONTROL,#1E8E5A,T-07,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-F583279037,GRN-T07-06
CARD-167,ALLIANCE,#1A7AE5,T-07,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-19B3518C05,BLU-T07-01
CARD-168,ALLIANCE,#1A7AE5,T-07,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-E95C1B8ACC,BLU-T07-02
CARD-169,ALLIANCE,#1A7AE5,T-07,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-1F681A71F9,BLU-T07-03
CARD-170,ALLIANCE,#1A7AE5,T-07,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-A745FA3D86,BLU-T07-04
CARD-171,CONTROL,#1E8E5A,T-08,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-1CDCB85383,GRN-T08-01
CARD-172,CONTROL,#1E8E5A,T-08,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-25C0DC8E1A,GRN-T08-02
CARD-173,CONTROL,#1E8E5A,T-08,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-BEAB9303ED,GRN-T08-03
CARD-174,CONTROL,#1E8E5A,T-08,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-C8F7F6C473,GRN-T08-04
CARD-175,CONTROL,#1E8E5A,T-08,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-B4F94D3B04,GRN-T08-05
CARD-176,CONTROL,#1E8E5A,T-08,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-E30FD9412A,GRN-T08-06
CARD-177,ALLIANCE,#1A7AE5,T-08,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-7E4A3ACA92,BLU-T08-01
CARD-178,ALLIANCE,#1A7AE5,T-08,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-CF50F4891A,BLU-T08-02
CARD-179,ALLIANCE,#1A7AE5,T-08,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-7AB5398832,BLU-T08-03
CARD-180,ALLIANCE,#1A7AE5,T-08,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-11BDD9A818,BLU-T08-04
CARD-181,CONTROL,#1E8E5A,T-09,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-5F621002AD,GRN-T09-01
CARD-182,CONTROL,#1E8E5A,T-09,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-EC803FEE71,GRN-T09-02
CARD-183,CONTROL,#1E8E5A,T-09,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-2C351B30C3,GRN-T09-03
CARD-184,CONTROL,#1E8E5A,T-09,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-F72AD1F585,GRN-T09-04
CARD-185,CONTROL,#1E8E5A,T-09,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-A9D284CA67,GRN-T09-05
CARD-186,CONTROL,#1E8E5A,T-09,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-F6BF90E224,GRN-T09-06
CARD-187,ALLIANCE,#1A7AE5,T-09,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-10CCD9623D,BLU-T09-01
CARD-188,ALLIANCE,#1A7AE5,T-09,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-029A81DD53,BLU-T09-02
CARD-189,ALLIANCE,#1A7AE5,T-09,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-161F427B54,BLU-T09-03
CARD-190,ALLIANCE,#1A7AE5,T-09,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-50A8D7A9B7,BLU-T09-04
CARD-191,CONTROL,#1E8E5A,T-10,DEPLOY P.R.O. CARD,,,,,"Permanent immunity to the AED 5,000/month implementation penalty · +25,000",KP5C-D821911A13,GRN-T10-01
CARD-192,CONTROL,#1E8E5A,T-10,DEPLOY C-SUITE CARD,,,,,"+30,000 · unlocks a bonus travel transaction worth +20,000",KP5C-6B8B57F6F7,GRN-T10-02
CARD-193,CONTROL,#1E8E5A,T-10,SET DAILY TRANSACTION LIMIT,,,,,"Caps every future penalty at AED 10,000 · +15,000",KP5C-CAC8958358,GRN-T10-03
CARD-194,CONTROL,#1E8E5A,T-10,AI-OCR RECEIPT MATCHING,,,,,Instantly files every remaining valid invoice at full value and quarantines every invalid one at zero penalty,KP5C-6F010B09E9,GRN-T10-04
CARD-195,CONTROL,#1E8E5A,T-10,CONSOLIDATE VIRTUAL IBANS,,,,,"File one foreign invoice without trading it · +20,000",KP5C-BB2085244C,GRN-T10-05
CARD-196,CONTROL,#1E8E5A,T-10,CONTINUOUS LEDGER CLOSE,,,,,Doubles all capital earned in the final 5 minutes,KP5C-DAA8E6D6B4,GRN-T10-06
CARD-197,ALLIANCE,#1A7AE5,T-10,CONSOLIDATE ENTITY,,,,,"Requires another table's agreement · Both file all foreign cards held for each other · +40,000 each",KP5C-C7D57D6B91,BLU-T10-01
CARD-198,ALLIANCE,#1A7AE5,T-10,WPS PAYROLL SYNC,,,,,"Playable alone · +35,000 · immunity to the Payroll Shock event",KP5C-8641EF2C8C,BLU-T10-02
CARD-199,ALLIANCE,#1A7AE5,T-10,ASP FAST-TRACK,,,,,"Requires another table's agreement · Validate a trade from your seat, no queue · +10,000 each",KP5C-120868660A,BLU-T10-03
CARD-200,ALLIANCE,#1A7AE5,T-10,MUTUAL RECOGNITION PACT,,,,,Requires another table's agreement · Next trade between this pair pays double,KP5C-13909DA569,BLU-T10-04
CARD-201,PRACTICE,#8A94A6,T-01,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-416373CA5B,PRACTICE-T01
CARD-202,PRACTICE,#8A94A6,T-02,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-3FA48AB089,PRACTICE-T02
CARD-203,PRACTICE,#8A94A6,T-03,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-C87DC85639,PRACTICE-T03
CARD-204,PRACTICE,#8A94A6,T-04,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-386BDB17B0,PRACTICE-T04
CARD-205,PRACTICE,#8A94A6,T-05,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-57A18BF3B3,PRACTICE-T05
CARD-206,PRACTICE,#8A94A6,T-06,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-FCEBA75B40,PRACTICE-T06
CARD-207,PRACTICE,#8A94A6,T-07,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-B91BA5DDCD,PRACTICE-T07
CARD-208,PRACTICE,#8A94A6,T-08,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-DD0EBC907C,PRACTICE-T08
CARD-209,PRACTICE,#8A94A6,T-09,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-76F6170B24,PRACTICE-T09
CARD-210,PRACTICE,#8A94A6,T-10,PRACTICE INVOICE — SCAN ME FIRST,,,,,Tutorial card · scan to start the practice round,KP5C-1978A01D66,PRACTICE-T10
